291.100,215.930,6.600,5.470
290.730,215.900,6.600,5.470
290.360,215.860,6.600,5.470
289.980,215.830,6.600,5.470
289.610,215.790,6.600,5.470
289.240,215.760,6.600,5.470
288.870,215.730,6.600,5.470
288.500,215.690,6.600,5.470
288.130,215.660,6.600,5.470
287.750,215.630,6.600,5.470
287.380,215.590,6.600,5.470
287.140,215.440,6.600,5.470
286.910,215.290,6.600,5.470
286.670,215.140,6.600,5.470
286.430,214.980,6.600,5.470
286.200,214.830,6.600,5.470
285.960,214.680,6.600,5.470
285.720,214.530,6.600,5.470
285.490,214.370,6.600,5.470
285.250,214.220,6.600,5.470
285.010,214.070,6.600,5.470
284.760,213.950,6.600,5.470
284.510,213.830,6.600,5.470
284.250,213.720,6.600,5.470
284.000,213.600,6.600,5.470
283.750,213.480,6.600,5.470
283.490,213.360,6.600,5.470
283.240,213.240,6.600,5.470
282.990,213.120,6.600,5.470
282.730,213.010,6.600,5.470
282.480,212.890,6.600,5.470
282.190,212.700,6.600,5.470
281.900,212.520,6.600,5.470
281.620,212.330,6.600,5.470
281.330,212.140,6.600,5.470
281.040,211.960,6.600,5.470
280.750,211.770,6.600,5.470
280.470,211.590,6.600,5.470
280.180,211.400,6.600,5.470
279.890,211.210,6.600,5.470
279.600,211.030,6.600,5.470
279.270,210.840,6.600,5.470
278.930,210.660,6.600,5.470
278.590,210.470,6.600,5.470
278.250,210.280,6.600,5.470
277.910,210.100,6.600,5.470
277.580,209.910,6.600,5.470
277.240,209.730,6.600,5.470
276.900,209.540,6.600,5.470
276.560,209.350,6.600,5.480
276.220,209.170,6.600,5.470
276.020,209.040,6.580,5.470
275.820,208.910,6.550,5.480
275.620,208.780,6.520,5.480
275.420,208.660,6.490,5.470
275.220,208.530,6.460,5.480
275.020,208.400,6.430,5.480
274.820,208.270,6.410,5.480
274.610,208.140,6.390,5.490
274.410,208.010,6.360,5.490
274.210,207.880,6.330,5.490
274.010,207.760,6.300,5.480
273.810,207.630,6.280,5.490
273.610,207.500,6.250,5.490
273.410,207.370,6.220,5.490
273.210,207.240,6.190,5.500
273.000,207.110,6.170,5.500
272.800,206.990,6.140,5.490
272.600,206.860,6.120,5.500
272.400,206.730,6.090,5.500
272.200,206.600,6.060,5.500
271.860,206.480,6.090,5.480
271.520,206.350,6.120,5.470
271.180,206.230,6.160,5.440
270.840,206.100,6.190,5.430
270.500,205.980,6.220,5.410
270.160,205.850,6.250,5.390
269.820,205.730,6.280,5.370
269.480,205.600,6.320,5.350
269.140,205.480,6.350,5.330
268.800,205.350,6.380,5.320
268.460,205.230,6.410,5.290
268.120,205.100,6.440,5.280
267.780,204.980,6.480,5.260
267.440,204.850,6.510,5.240
267.100,204.730,6.540,5.220
266.760,204.600,6.570,5.210
266.420,204.480,6.600,5.180
266.080,204.350,6.640,5.170
265.740,204.230,6.670,5.140
265.400,204.100,6.700,5.130
265.170,203.950,6.700,5.130
264.940,203.800,6.700,5.130
264.720,203.640,6.700,5.130
264.490,203.490,6.700,5.130
264.260,203.340,6.700,5.130
264.030,203.190,6.700,5.130
263.800,203.040,6.700,5.130
263.570,202.880,6.700,5.130
263.350,202.730,6.700,5.130
263.120,202.580,6.700,5.130
262.890,202.430,6.700,5.130
262.660,202.270,6.700,5.140
262.430,202.120,6.700,5.130
262.210,201.970,6.700,5.130
261.980,201.820,6.700,5.130
261.750,201.670,6.700,5.130
261.520,201.510,6.700,5.140
261.290,201.360,6.700,5.130
261.060,201.210,6.700,5.130
260.840,201.060,6.700,5.130
260.480,200.880,6.610,5.210
260.120,200.710,6.530,5.280
259.760,200.530,6.450,5.360
259.410,200.350,6.360,5.440
259.050,200.180,6.280,5.510
258.690,200.000,6.200,5.590
258.340,199.820,6.300,5.670
257.980,199.650,6.420,5.740
257.620,199.470,6.540,5.820
257.260,199.290,6.660,5.900
256.910,199.120,6.770,5.980
256.550,198.940,6.880,6.060
256.190,198.770,7.000,6.130
255.840,198.590,7.110,6.210
255.480,198.410,7.230,6.290
255.120,198.240,7.350,6.220
254.760,198.060,7.470,6.340
254.410,197.880,7.570,6.450
254.050,197.710,7.690,6.560
253.690,197.530,7.810,6.670
253.480,197.390,7.810,6.670
253.270,197.240,7.810,6.670
253.060,197.100,7.810,6.670
252.850,196.960,7.800,6.670
252.640,196.810,7.800,6.670
252.420,196.670,7.810,6.670
252.210,196.530,7.810,6.660
252.000,196.380,7.810,6.670
251.790,196.240,7.810,6.670
251.580,196.090,7.810,6.670
251.370,195.950,7.810,6.670
251.160,195.810,7.800,6.670
250.940,195.660,7.810,6.670
250.730,195.520,7.810,6.670
250.520,195.380,7.810,6.660
250.310,195.230,7.810,6.670
250.100,195.090,7.810,6.670
249.890,194.940,7.810,6.670
249.680,194.800,7.800,6.670
249.470,194.660,7.800,6.670
249.140,194.520,7.800,6.670
248.810,194.390,7.800,6.670
248.480,194.250,7.800,6.670
248.150,194.120,7.800,6.670
247.820,193.980,7.810,6.670
247.490,193.850,7.810,6.660
247.160,193.710,7.810,6.670
246.830,193.580,7.810,6.660
246.500,193.440,7.810,6.670
246.170,193.300,7.810,6.670
245.840,193.170,7.810,6.670
245.510,193.030,7.810,6.670
245.180,192.900,7.810,6.670
